name,jd,wd,area,flag,tagOne,tagOneName,tagTwo,tagTwoName,regionID
国茶港,102.66972,25.092892,KunMing,2,5,商务住宅,500,住宅小区,137
绿地iHome（绿地云都会）,102.6685529,25.09388564,KunMing,2,5,商务住宅,500,住宅小区,137
实地花鹤翎,102.7024413,25.10215808,KunMing,2,5,商务住宅,500,住宅小区,139
贵研铂苑,102.7066888,25.09341889,KunMing,2,5,商务住宅,500,住宅小区,139
夏之梦,102.702873,25.017786,KunMing,3,12,住宿服务,1200,宾馆,655
紫竹苑,102.6833655,25.01797568,KunMing,,5,商务住宅,500,住宅小区,659
百世快递(关上店),102.7488507,25.01614247,KunMing,,5,商务住宅,500,住宅小区,662
博大商务酒店(南亚风情第壹城店),102.6893564,25.01685907,KunMing,,12,住宿服务,1200,宾馆、酒店、青年旅社、公寓,671
羊方凹,102.7909294,25.01935117,KunMing,,5,商务住宅,500,住宅小区,683
H公寓,102.71592,25.014668,KunMing,2,12,住宿服务,1200,宾馆、酒店、青年旅社、公寓,687
金地九樾,102.71179,25.014807,KunMing,2,5,商务住宅,500,住宅小区,689
金地悦天下,102.710118,25.016467,KunMing,2,5,商务住宅,500,住宅小区,689
南亚风情第壹城星辰苑,102.6933145,25.01347096,KunMing,2,5,商务住宅,500,住宅小区,691
凤凰御景,102.70237,25.01152,KunMing,2,5,商务住宅,500,住宅小区,692
